,entry,category,confidence
0,clothes $40,personal,100.00%
1,Football 20$,recreation,99.99%
2,Groceries $60,food,99.99%
3,Bag 25$,personal,73.84%
4,Milk 25$,food,100.00%
5,Maize flour for 2$,food,100.00%
6,Baby clothes and supplies $40,personal,100.00%
7,Utilities $70,utilities,100.00%
8,Water bottle for 1$,personal,99.99%
9,Birthday gift to boyfriend- $30,recreation,100.00%
10,ELECTRICITY,utilities,99.99%
11,Snacks,food,99.99%
12,Shopping,housing,75.97%
13,Fruits 1.5,food,99.99%
14,Verinary Expense $65,miscellaneous,99.99%
15,Hair $25,personal,99.99%
16,Gym equipment purchases 150$,personal,99.99%
17,Car fuel 80$,transportation,99.99%
18,Loans,saving,100.00%
19,Grocery store$100,food,99.99%
20,Clothings $100,personal,99.99%
21,TV Subscription $40,utilities,99.99%
22,HEALTH INSURANCE ,medical,99.99%
23,Electricity bills,utilities,100.00%
24,Netflix-$3.99,utilities,100.00%
25,Date night-$50,food,99.99%
26,Milk 0.6,food,99.99%
27,Coffee 13$,food,100.00%
28,Dress for 3$,personal,99.99%
29,Transport for 5$,transportation,100.00%
30,Phone bill- -$30,utilities,99.99%
31,Apple watch 89$,personal,100.00%
32,Rice for 10$,food,99.99%
33,New shoes 15$,personal,73.84%
34,Phone bill 45$,utilities,100.00%
35,Hair- $30,personal,99.99%
36,Furniture $20,saving,100.00%
37,Gas filling $2,transportation,84.14%
38,Vegetables for 1$,food,99.99%
39,A pair of sneakers 145$,nonsense,47.69%
40,Bread 0.65,food,100.00%
41,Debt and interest,saving,100.00%
42,Cake for birthday 20$,recreation,100.00%
43,School Supplies $40,miscellaneous,99.99%
44,Gasoline $40,medical,59.53%
45,Grocery Store $15,food,99.99%
46,GARDEN ,nonsense,100.00%
47,Hotel room reservation 100$,recreation,100.00%
48,Diapers $20,medical,100.00%
49,Phone charges $10,utilities,100.00%
50,Grocery 1.5,food,100.00%
51,Home furnitures ,housing,99.99%
52,Car wash $5,transportation,100.00%
53,School bag for 5$,personal,99.99%
54,Diapers for 6$,miscellaneous,99.99%
55,Alcohol-$40,recreation,99.99%
56,Food expenses $7,food,100.00%
57,Food 50$,food,99.99%
58,Car Rent for month $350,transportation,50.66%
59,Cat food 10$,food,99.99%
60,Meals,food,100.00%
61,Laptop 600$,personal,100.00%
62,HOME INSURANCE ,housing,99.99%
63,Manicure and pedicure- $30,medical,99.99%
64,TUITION,recreation,100.00%
65,House Rent $100,housing,99.99%
66,CAR INSURANCE ,transportation,100.00%
67,Transport,transportation,99.99%
68,Driving lessons- $50,transportation,99.99%
69,CLOTHING,personal,64.98%
70,Mobile data $3,miscellaneous,41.41%
71,GROCERIES ,food,100.00%
72,Toiletry-$40,personal,58.22%
73,Rent 135.5,housing,99.99%
74,Land mowing $50,housing,99.99%
75,Grocerys $45,food,99.99%
76,Water bill 60$,utilities,100.00%
77,Home appliances $60,housing,99.99%
78,Book purchases 35$,personal,99.99%
79,Baby wipes for 2.50$,personal,99.99%
80,Travel $200,transportation,100.00%
81,Airtime 0.5,utilities,69.84%
82,Cologn 45$,medical,99.99%
83,WATER,housing,99.99%
84,Car Fuel $50,transportation,100.00%
85,GASOLINE,transportation,100.00%
86,Cereals 5.00,food,100.00%
87,Entertainment $10 ,recreation,99.99%
